90,-18.75,115,115,90,90,115,-33.75,200,200,200,90,-36.25,115,200,200,-25.0,90,200,115,115,200,115,200,200,-25.0,200,115,200,115,90,90,90,-36.25,200,200,-21.25,-35.0,200,-26.25,-33.75,115,200,-35.0,115,200,115,-25.0,115,115,200,-35.0,200,200,200,115,90,90,115,-35.0,200,90,200,115,200,115,200,200,115,-22.5,115,-35.0,90,-36.25,200,115,-25.0,200,200,-18.75,90,115,200,90,-25.0,90,115,-35.0,90,200,200,115,115,200,-35.0,200,200,90,115,115,200,-35.0,200,90,115,-23.75,90,-18.75,200,90,-21.25,115,90,200,-25.0,90,200,115,115,115,-35.0,115,90,115,200,-37.5,-22.5,90,90,-23.75,200,200,90,90,115,200,200,200,200,90,200,200,200,200,-25.0,-22.5,200,90,200,200,90,200,-35.0,200,-33.75,90,200,90,200,200,-35.0,90,-35.0,115,-35.0,200,115,200,200,-18.75,200,90,90,200,115,200,200,200,200,200,115,200,90,200,115,115,-26.25,200,200,200,115,115,115,200,115,-33.75,200,115,200,200,115,90,200,200,200,-35.0,200,115,-25.0,-22.5,90,-25.0,-21.25,200,200,90,-35.0,90,90,90,-35.0,200,200,115,200,200,115,200,200,200,200,90,200,90,200,115,90,-36.25,-25.0,115,200,200,90,200,90,200,200,200,200,-35.0,-25.0,200,-36.25,200,115,200,200,115,90,90,115,200,90,90,115,200,200,200,200,200,200,200,200,115,200,115,90,200,90,200,115,90,-35.0,-36.25,200,200,115,200,90,90,90,115,115,115,200,200,200,115,-21.25,115,200,90,-23.75,115,115,115,-37.5,-35.0,-35.0,-36.25,200,200,200,-35.0,200,115,115,-25.0,115,-35.0,200,200,200,-35.0,200,200,-26.25,115,115,-36.25,200,200,200,200,115,-25.0,200,90,115,-35.0,115,200,-18.75,200,200,200,200,90,-21.25,-23.75,200,200,200,-35.0,90,90,-36.25,115,115,-21.25,200,115,200,200,200,115,115,200,115,200,200,-21.25,200,90,200,200,-25.0,200,200,115,200,90,90,90,200,90,-26.25,200,90,-35.0,-37.5,115,200,200,90,90,-25.0,200,200,200,200,-35.0,200,200,-25.0,200,115,115,90,90,200,-25.0,90,-35.0,-35.0,-23.75,200,90,-18.75,115,-22.5,90,200,200,90,200,115,90,90,-25.0,-35.0,-35.0,-22.5,90,200,200,115,115,115,-21.25,115,90,-33.75,200,200,-22.5,90,200,-21.25,90,200,90,-25.0,115,115,115,90,200,90,115,-33.75,90,200,90,200,90,-33.75,200,90,115,-18.75,200,200,200,200,90,200,90,-18.75,200,115,-22.5,115,115,-25.0,115,115,90,-21.25,-35.0,115,200,200,200,200,200,115,90,90,200,
115,200,-26.25,115,115,115,200,90,115,90,-35.0,115,90,115,115,200,115,200,-35.0,-21.25,200,200,115,200,115,-21.25,200,-36.25,115,115,200,90,-26.25,200,200,115,90,200,115,200,200,200,200,200,90,115,200,200,200,115,90,115,200,115,90,90,115,115,-25.0,-22.5,90,115,200,90,-25.0,200,200,200,200,90,115,-22.5,115,-26.25,115,90,115,115,200,115,90,200,200,200,115,200,90,200,90,-22.5,200,200,200,200,115,115,200,90,200,200,90,115,200,115,90,90,90,200,90,200,200,115,-23.75,-35.0,200,-35.0,115,90,200,200,-35.0,200,90,200,115,-21.25,200,200,200,-35.0,200,90,115,115,-25.0,-35.0,200,200,200,115,200,-36.25,200,115,90,200,200,-25.0,200,200,200,115,200,115,115,200,115,90,200,200,115,200,115,90,90,-26.25,-25.0,-21.25,90,200,-21.25,90,200,90,90,115,200,-35.0,200,90,-21.25,200,90,200,115,200,-35.0,90,115,115,-26.25,90,200,200,115,-33.75,115,115,-36.25,200,200,115,-26.25,-33.75,115,200,200,115,200,200,90,200,200,200,-35.0,90,90,200,90,115,90,-35.0,200,115,115,-35.0,200,-37.5,200,200,200,90,115,200,-26.25,-35.0,200,115,115,115,90,115,-35.0,-22.5,200,200,115,90,90,-25.0,90,200,90,200,200,200,90,-36.25,200,115,200,115,90,200,200,200,200,90,115,200,-36.25,115,115,-26.25,90,90,200,115,90,90,-25.0,200,-18.75,-22.5,-36.25,200,115,-25.0,90,200,-25.0,200,200,90,115,90,115,90,90,-26.25,200,-35.0,115,200,200,90,90,200,-21.25,200,200,115,200,-26.25,115,90,90,90,200,200,-25.0,-35.0,90,115,90,-36.25,-21.25,-21.25,-35.0,200,-25.0,200,200,115,-35.0,200,115,-21.25,115,115,90,115,115,-23.75,-21.25,-33.75,200,115,115,-25.0,90,90,200,115,90,90,90,115,115,200,90,200,200,200,200,-23.75,200,115,115,90,200,200,90,200,200,115,-35.0,-23.75,-36.25,90,90,115,-18.75,115,115,200,200,115,200,200,115,-26.25,200,115,90,200,90,200,200,200,200,90,115,200,90,-21.25,200,200,200,-25.0,-25.0,-18.75,200,200,200,90,-35.0,200,90,115,115,200,-18.75,90,200,200,-26.25,200,200,115,-22.5,200,115,90,115,200,90,-25.0,200,200,90,200,115,115,-36.25,90,90,90,200,115,200,200,200,200,90,115,200,115,90,200,-22.5,115,90,90,-37.5,115,90,200,90,200,-21.25,90,200,200,200,200,-23.75,90,200,200,115,115,200,90,-21.25,200,200,115,-36.25,115,90,200,-33.75,90,90,-25.0,200,115,90,200,
200,200,200,115,200,115,-23.75,90,200,115,115,200,115,-33.75,90,115,115,90,-35.0,90,200,90,-25.0,115,200,90,200,200,90,115,200,-22.5,115,90,-35.0,90,-35.0,200,-23.75,115,200,200,-35.0,115,200,115,115,115,200,115,-35.0,90,115,200,115,90,-25.0,200,115,115,-36.25,200,115,200,200,115,90,90,-36.25,200,200,115,200,200,115,200,200,90,90,90,200,90,-25.0,-35.0,115,200,200,200,200,200,90,115,115,200,115,200,200,200,-23.75,-36.25,-25.0,90,90,-33.75,-35.0,-36.25,200,-26.25,115,200,115,90,115,200,115,90,200,90,115,115,115,200,115,200,90,90,115,-36.25,200,-25.0,90,115,90,90,200,-35.0,200,-23.75,90,115,-35.0,90,200,200,-18.75,-22.5,200,90,200,90,115,115,-22.5,200,-26.25,115,-35.0,200,90,90,200,200,200,200,200,200,90,115,-35.0,90,115,115,200,200,90,200,200,200,115,90,-25.0,115,200,200,200,200,115,-25.0,200,90,-36.25,115,-25.0,200,200,200,200,200,200,115,90,200,-25.0,200,90,200,-23.75,115,90,-26.25,200,200,90,90,115,200,115,115,200,115,200,90,90,115,90,200,200,200,200,90,-25.0,115,115,90,200,-18.75,115,200,200,200,200,115,200,200,-25.0,90,200,200,200,200,-21.25,200,200,200,200,-22.5,90,90,115,200,-35.0,200,200,-25.0,90,200,90,200,115,200,-23.75,200,200,-35.0,90,115,-36.25,200,-18.75,115,200,200,200,200,90,200,115,200,200,90,90,90,200,200,200,115,90,90,90,200,200,-21.25,115,200,90,115,90,200,90,115,90,115,115,115,-35.0,115,90,-33.75,200,90,200,115,90,115,-35.0,90,90,-35.0,200,-21.25,90,115,90,-35.0,115,115,115,-25.0,-36.25,115,-23.75,90,90,90,90,-35.0,90,115,200,115,200,90,200,200,200,200,115,115,115,115,90,90,200,90,90,-36.25,200,-33.75,200,115,-21.25,115,90,200,115,90,-25.0,-26.25,90,200,200,115,90,-35.0,200,200,-21.25,-35.0,200,-22.5,200,-35.0,200,200,115,200,200,90,-36.25,200,200,90,200,-35.0,200,-33.75,200,200,90,200,200,115,115,200,-37.5,200,-35.0,-22.5,200,115,115,200,200,115,200,200,200,200,90,200,90,-33.75,200,200,200,200,90,-25.0,90,200,90,-18.75,90,90,90,200,-36.25,200,-26.25,200,90,-22.5,-33.75,200,200,200,200,115,115,-36.25,200,115,200,200,200,200,90,-21.25,90,-35.0,200,200,115,200,115,-33.75,90,90,200,200,115,90,-33.75,-25.0,90,200,-25.0,-36.25,115,-36.25,115,-21.25,115,90,200,90,90,-35.0,200,115,
200,90,115,200,115,115,-23.75,200,200,90,200,200,200,200,200,200,-25.0,-33.75,115,115,200,115,90,90,200,-26.25,115,-36.25,200,200,200,90,200,200,200,200,200,90,-21.25,115,200,-35.0,200,90,115,200,200,-33.75,-33.75,115,115,200,-35.0,200,90,-21.25,200,90,200,200,-18.75,90,90,115,-21.25,-36.25,-35.0,90,90,90,-21.25,115,90,200,115,-21.25,115,115,200,115,-26.25,200,115,90,-35.0,200,200,-26.25,115,200,200,-35.0,115,200,200,200,200,200,115,200,200,200,-21.25,200,-26.25,200,115,200,90,200,200,200,200,200,200,115,-22.5,-35.0,90,200,200,90,200,200,200,90,200,200,200,115,200,115,-36.25,-25.0,200,90,200,90,90,200,-25.0,200,200,90,200,200,115,-36.25,200,200,200,90,200,200,200,90,90,-35.0,90,90,115,115,-25.0,200,200,-36.25,115,-35.0,-23.75,200,90,-18.75,200,-25.0,115,200,200,200,-18.75,200,-35.0,90,200,115,90,90,115,200,90,115,-35.0,115,200,200,-35.0,-35.0,-35.0,115,200,115,-35.0,200,200,200,90,200,90,-35.0,115,115,200,-35.0,90,90,200,115,200,200,200,-37.5,-33.75,-37.5,200,200,115,90,115,200,-25.0,-26.25,115,200,90,200,-18.75,-26.25,-25.0,115,90,90,115,200,90,200,115,115,-23.75,115,200,200,200,200,115,200,-21.25,-36.25,90,-33.75,-21.25,200,200,200,200,200,90,115,90,200,115,-26.25,90,200,200,90,200,200,90,-26.25,200,200,200,90,115,200,-23.75,115,200,200,90,-25.0,200,90,90,200,200,200,115,200,90,-23.75,200,200,115,-23.75,90,200,115,90,-25.0,-25.0,200,200,115,200,90,200,200,90,-26.25,115,-36.25,90,115,-25.0,-35.0,115,-23.75,115,115,200,200,115,115,90,-35.0,115,-35.0,90,-18.75,-35.0,-35.0,200,90,90,-25.0,-25.0,200,200,200,90,90,-36.25,200,115,200,200,200,200,90,-35.0,-33.75,200,200,-35.0,200,200,200,200,200,90,90,90,200,200,200,200,115,90,-37.5,200,200,200,115,115,200,200,200,200,200,90,90,200,200,90,90,90,115,-33.75,115,-36.25,90,115,-23.75,-37.5,200,200,200,115,115,90,200,90,-21.25,115,200,-25.0,-36.25,115,200,200,90,200,90,-26.25,90,90,115,200,115,115,200,-25.0,-35.0,-36.25,90,115,200,115,200,115,200,115,200,-35.0,-35.0,-23.75,200,115,200,115,200,90,90,115,200,200,200,115,200,200,-23.75,-22.5,115,90,200,115,200,200,90,-25.0,-23.75,200,200,90,200,-36.25,90,115,-35.0,90,-23.75,200,200,115,200,-36.25,200,200,-35.0,200,200,115,-25.0,200,-35.0,200,200,200,200,-35.0,
-26.25,-35.0,90,200,115,-33.75,-22.5,-35.0,115,-23.75,200,200,-36.25,200,-35.0,200,115,115,200,90,90,-25.0,90,90,115,200,200,200,200,-25.0,90,90,200,200,90,115,90,-22.5,200,115,200,200,200,200,115,200,-35.0,-25.0,90,-23.75,-33.75,200,-33.75,115,200,200,115,90,200,115,200,-22.5,115,-26.25,115,-25.0,90,90,-21.25,200,200,-26.25,-35.0,90,-35.0,90,-21.25,90,200,-25.0,-23.75,200,200,90,115,200,200,-35.0,-26.25,200,115,115,-25.0,-33.75,115,115,-26.25,90,-18.75,115,200,200,-18.75,200,200,90,115,90,200,-25.0,-35.0,200,-35.0,-35.0,115,115,-35.0,200,200,-35.0,90,200,200,200,-35.0,200,200,200,115,-35.0,115,90,90,-36.25,-21.25,90,115,115,115,115,115,115,90,-36.25,200,115,200,200,90,90,90,115,200,115,90,200,115,90,200,200,200,200,115,115,115,200,115,200,115,115,90,200,90,-33.75,115,90,-23.75,200,115,-21.25,115,-23.75,200,115,115,90,200,115,90,-35.0,-35.0,115,90,115,200,-21.25,90,90,-37.5,90,115,115,200,200,200,115,-18.75,200,200,90,115,115,200,115,200,90,200,-36.25,200,200,115,200,200,90,-35.0,200,-25.0,-35.0,90,90,115,-33.75,200,90,90,200,-22.5,-18.75,115,115,90,90,200,90,90,115,-26.25,90,200,115,-36.25,-25.0,90,200,-35.0,115,-26.25,200,200,115,200,-23.75,115,200,200,-35.0,115,200,90,200,-23.75,90,90,200,200,90,200,-22.5,200,90,200,90,200,200,115,200,200,90,90,200,115,90,-35.0,90,200,200,200,200,90,200,200,90,90,90,200,-35.0,-36.25,200,-22.5,-23.75,200,115,200,-21.25,-35.0,-35.0,200,-36.25,200,90,200,-25.0,200,90,90,200,200,-25.0,200,200,200,-35.0,115,-36.25,90,115,200,90,115,90,115,115,200,200,200,200,200,90,200,-35.0,90,200,200,-37.5,90,90,115,200,-21.25,90,200,200,200,200,200,200,115,-21.25,-33.75,200,200,115,200,90,90,200,-33.75,-35.0,90,115,115,-35.0,200,115,200,200,200,115,115,115,200,90,-35.0,200,-18.75,115,200,-35.0,90,-35.0,-33.75,115,90,200,200,200,200,90,200,200,115,200,90,200,90,200,90,115,200,90,-36.25,115,200,200,200,-23.75,115,200,-33.75,200,-25.0,115,-22.5,90,-25.0,200,115,-23.75,-18.75,115,-35.0,115,200,90,200,90,115,200,-26.25,-35.0,200,200,-26.25,90,-26.25,200,115,-35.0,200,200,90,90,-36.25,200,115,115,200,-33.75,115,200,115,-35.0,200,200,200,90,200,115,115,90,115,115,200,-25.0,-22.5,200,90,90,115,200,-33.75,200,200,200,90,200,200,115,90,115,
